position,title,link,product_link,product_id,serpapi_product_api,source,price,extracted_price,rating,reviews,thumbnail,delivery,extensions,badge,tag,store_rating,store_reviews,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,old_price,extracted_old_price,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7
10,Men's Straight Jeans in Gapflex with Washwell by Gap Medium Wash Size 40W,https://www.gap.com/browse/product.do?pid=598134002&vid=1&tid=gpns000044,https://www.google.com/shopping/product/14446325042824900049?gl=us,14446325042824900049,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14446325042824900049,Gap,,67.99,4.7,409.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQrpt8Niwo67u-eKJe2KjqCik-w3VDHPqu5XA3be3P-W8IMKYuXkjFGnLif8XEoKw8V-jN0qiddRW0FfQzg4jyCrY9mhErha107A8SbkD5zuklMIYUCPGIDKQ&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,Top Quality Store,,4.6,,,,,,,,gap_q,gap jeans,4.7,409.0,0.0,0,0,1,1,0,0,0,0,0,0
11,Gap Factory Mid Rise Wide-Leg Jeans in Stretch Jeans - Blue,https://poshmark.com/listing/GAP-Jeans-Womens-25-Mid-Rise-Wide-Leg-Dark-Blue-Stretch-NWT-6491ad95ac1b044b9663f54a?srsltid=AfmBOorW_2WL3PSX4mnqHtL3LRq3Ok0pUFTHkt7NtqaJGiAld2Imj1wUcY0&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/16123302028625424401?gl=us,16123302028625424401,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=16123302028625424401,Poshmark,,39.0,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRptmd9h2RtU7HTbg0w7QGinObvpgLzvKHCp9Mvfh0UvxqJjRuog7Z0Zy2Dm65zPNsVVPQTqLBAqsRLou59dl3p3v4emw0RjVK2lT8oqBuep1q7u-H2QzpNfg&usqp=CAE,"Delivery by Thu, Oct 5",,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
12,Gap Men's Slim Taper Fit Denim Jeans,https://sport.woot.com/offers/gap-mens-slim-taper-fit-jeans-black-des-1,https://www.google.com/shopping/product/15113987436920320554?gl=us,15113987436920320554,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15113987436920320554,Woot,,29.74,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT4xJcIz7HKZA9_2BlRCrCTdbYrF9Jo4eU84LQzmJ3iCzgc2LzfEd8DzI03nGpCuYqs5YY9gOpf-huU8fjXT4SXdFjh_cZcJs4sXEgQF9x9IZD8s8VYxq-v&usqp=CAE,$6.00 delivery,,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
13,Women's High Rise Cheeky Straight Jeans with Washwell by Gap Medium Indigo Tall ...,https://www.gap.com/browse/product.do?pid=546925002&vid=2&tid=gpns000044,https://www.google.com/shopping/product/8054096072632749770?gl=us,8054096072632749770,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=8054096072632749770,Gap,,24.97,4.1,169.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQKl_3q9Z74VmWkjr_z6bjbshVyvB_2N0R13qM_jOYFTfMqdy7ruBYpZ60IG0sWNdOlGOJJi03VoZkdU31NpMLs7SWM_AuPy3EGXONV_twtg4MohIUa1mH8Tg&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",['SALE'],Top Quality Store,SALE,4.6,,,,,,69.95,,gap_q,gap jeans,4.1,169.0,-44.980000000000004,0,1,1,1,0,0,0,0,0,0
14,Gap Factory Women's Mid Rise Kick Fit Jeans with Washwell Medium Wash Size 33,https://www.gapfactory.com/browse/product.do?pid=592925001&vid=1&tid=gfns000002,https://www.google.com/shopping/product/16751487976324058999?gl=us,16751487976324058999,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=16751487976324058999,Gap Factory,,28.0,4.3,39.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTcDw1jEAHUVOOpGXpT31vHshRrIYUZSyAb7ISVhHy44MEXPHfyF1-qcWEFYL-6_ZPmnzZxgVlffqR7rlhHEGHHh2eeRM2kM-nDfcOuBstuX3oyYruygN3m&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$6.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap jeans,4.3,39.0,0.0,1,0,1,1,1,0,0,0,0,0
15,"Gap Men's Jeans - Blue - 34""",https://www.depop.com/products/roymadison22-gap-premium-straight-fit-mens-e480/?srsltid=AfmBOoocTmBS68EKsXJcVts4ji3gbx-P__TKrPIsah9_thVnW2zY02fZwF4,https://www.google.com/shopping/product/1?gl=us&prds=pid:2063071557060429026,2063071557060429026,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2063071557060429026,Depop,,39.0,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQMdvxb6mAqhkBYNnC57B7rJlapt6HBfWn2BXewDF6xWXNBlbGfUhuOLNwsbruT7TthGPwg7x6JvEAgl2tviSjCJG7KMowCSPxskWVOzPH36cmCuoQQaOQr&usqp=CAE,$10.99 delivery,,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
16,Gap Men's Straight Fit Denim Jeans,https://www.amazon.com/GAP-Mens-Straight-Jeans-Black/dp/B09V28VDPN?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/10837066390634902130?gl=us,10837066390634902130,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10837066390634902130,Amazon.com,,24.99,4.3,119.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQDECaKH-t_Kdi26VOY7CRbBX5Fl9wUJsPqUQ9PY9xBS-ng23wXGCxMk5xJ8sXtWEEUH5KlElxcaRkU1062hiuSwPFVg9BXremTnZgpcEKc0DC0Q4YmeZ7-&usqp=CAE,$5.99 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap jeans,4.3,119.0,0.0,0,0,1,0,0,0,0,1,0,0
17,Gap High Rise '70s Flare Jeans with Washwell Basic Black,https://modesens.com/product/gap-high-rise-70s-flare-jeans-with-washwell-basic-black-64981396/?country=us&language=en&refinfo=gSH_ggfGapfc-ApAcCl64981396&srsltid=AfmBOopd4tFPdsB2jMZh5Jtuo64_eLSxOYRq-T7xTpgY3eEr5U_7cwaAwAo,https://www.google.com/shopping/product/2246191077630794000?gl=us,2246191077630794000,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2246191077630794000,ModeSens,,53.0,4.7,67.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSGqB3_icVAJsLrDyV88O2DNeIOiwxECsDELzdcE25QyMhWeVA8cnv051eXm1wgad_7cfGNvqTSSIUPCDyKU4JBytr7k-Zs0vkhViBbXcWae1tCxypR8Qen&usqp=CAE,$7.00 delivery,"['$37.00 below typical', 'LOW PRICE']",,LOW PRICE,,,,,,,,,gap_q,gap jeans,4.7,67.0,0.0,1,0,0,0,0,0,0,0,0,0
18,"Gap Jeans | Gap Men New Size 36/30, 36/32 Medium Wash Slim Fit Jeans with Gapflex ...",https://poshmark.com/listing/GAP-Men-NEW-Size-3630-3632-Medium-Wash-Slim-Fit-Jeans-with-GapFlex-Pants-642abab2ac1f7624cfc3d157?srsltid=AfmBOornqlPFpAzEtrl5d5FpO3z9RploKnIwkzzIIX-EZJ0c9scWEP2hofQ#utm_source=gdm_unpaid,https://www.google.com/shopping/product/5445603754149773648?gl=us,5445603754149773648,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5445603754149773648,Poshmark,,38.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRCc220VURUs0TzsPPHth_f-GsyAHpwClLO2Gff24e5ZMSN3tymHNk7qxElVdghmN71GoGCaH3nlBnvBanwlEZkIOVk-eoPcGV8lHpbizScl8oQHUkEfCU0&usqp=CAE,"Delivery by Fri, Oct 6",,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
19,New Gap Men's Straight Fit Jeans Variety Color & Sizes - Cotton Blend - 29 in - Gray,https://www.bonanza.com/listings/New-Gap-Men-s-Straight-Fit-Jeans-Variety-Color-Sizes/1340756367?goog_pla=1&variation_id=1758301567,https://www.google.com/shopping/product/11850588706709701406?gl=us,11850588706709701406,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11850588706709701406,Bonanza - iStock4U,,48.99,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSUxWdAAZbfoP4JS5j2zlSI85kX8_sRv3nFfRlEKC5uPbbhkZt9AMjrcONg0zaWrs1GXSlhfjOtrULzRQpiyO060wxzPt8M3wedAxS_0ujtBVOey6zyApJhpg&usqp=CAE,Free delivery,,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
20,Gap Factory Men's Straight Jeans with Washwell Medium Wash Size 33W,https://www.gapfactory.com/browse/product.do?pid=497149001&vid=1&tid=gfns000002,https://www.google.com/shopping/product/10527366620478444725?gl=us,10527366620478444725,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10527366620478444725,Gap Factory,,20.0,4.4,122.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRy3OI20U-M8imIZbUZm_6iN7PNpgP8fYvZDtmZAu-_FMPBHXPY-BevbEmu4pyz57suDJOl--9hfDyvtDkxrs8IkGKaNFpc0g_xxGAX4ahcwNwGR6ypDNjj&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$4.99 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap jeans,4.4,122.0,0.0,1,0,1,1,1,0,0,0,0,0
21,Gap Men's Jeans - Blue,https://www.depop.com/products/havenstormm-the-best-vintage-gap-light/?srsltid=AfmBOorOsEvcjRQLD9ssKrt0SdC5sUqOLvU0iQaivSNAVeE_OjWFcBs73-o,https://www.google.com/shopping/product/6292867238647372104?gl=us,6292867238647372104,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6292867238647372104,Depop,,40.0,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTg-5hRI0a889bE9BtRLbsQ242zwD-qczQfwyAtWk-xRBAC6MGr9HnwV6s8rcGAi3j8M29fZo5QU6sEWSJlFOWAJcQy0Gm-mEMQjqmppxta&usqp=CAE,$7.99 delivery,,,,,,,,,,,used,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
22,Gap Mid Rise Classic Straight Jeans with Washwell Medium Wash,https://modesens.com/product/gap-mid-rise-classic-straight-jeans-with-washwell-medium-wash-62413678/?country=us&language=en&refinfo=gSH_ggfGapfc-ApAcCl62413678&srsltid=AfmBOop0LxbTDQMiFGPu1yISnCUuxo1mCh8lO0qDnHDwjeCLGLLeVka48rE,https://www.google.com/shopping/product/2708143037282519118?gl=us,2708143037282519118,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2708143037282519118,ModeSens,,47.0,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQTKaS-uLHPKpn2INc9L-L2gZY6rI4w5uzqQZ8Dc3vIY4BNgz1Cb8xVjjGZJNa2H7Qdp05-In8axp7Ng2RUS5ZIgGOEJevxyPlqtBvANsMpQEP2vnhGwm5j&usqp=CAE,$7.00 delivery,"['$24.00 below typical', 'LOW PRICE']",,LOW PRICE,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,1,0,0,0,0,0,0,0,0,0
23,Gap Women's High Rise Vintage Slim Fit Denim Jeans,https://www.amazon.com/GAP-Womens-Vintage-Jeans-Regular/dp/B09V4NKPM5?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/14798842161884830087?gl=us,14798842161884830087,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14798842161884830087,Amazon.com,,39.99,4.2,53.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSBeaNX-qpoc2jOBIeGYv_mt84K98tBiklAi0FAGn0Ul5-V6Qy5UNUJ2YCmK9rtwQtC2-9ilwxB3eJ7Le-_5M55ndggFNOKAAU4x9e3e0_5x5ms_Hekc2DBLA&usqp=CAE,Free delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap jeans,4.2,53.0,0.0,0,0,1,0,0,0,0,1,0,0
24,Gap Jeans | Gap Cheeky Straight High Rise Jeans in Medium Wash | Color: Blue ...,https://poshmark.com/listing/Gap-Cheeky-Straight-High-Rise-Jeans-in-Medium-Wash-63d096aa3e37e396d92df927?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/13651292678562887001?gl=us,13651292678562887001,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=13651292678562887001,Poshmark,,15.0,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSQnkjWyCzqTKr472KytXj0jfhGypF4MkzAsc1ApTkTuiHRvqqM5H3qQAssLaYZ0OHYcUeboLqKqKIOa-vmEvZAoSZZgn8qae1rZip77bk&usqp=CAE,"Delivery by Fri, Oct 6",['SALE'],,SALE,,,,,,,20.0,,gap_q,gap jeans,4.340624999999999,122.84375,-5.0,0,1,0,0,0,0,0,0,0,0
25,Gap Straight Jeans | Gap High Rise Straight Leg Jean | Color: | Size: 27,https://curtsyapp.com/item/gap-high-rise-straight-leg-jean/MwiN3jhdif?srsltid=AfmBOoouJavfyIj_aUgELLEhbdjG7thwXWA51rnKqAMDDuqYwvdQbiTw8L0,https://www.google.com/shopping/product/10322246503894087279?gl=us,10322246503894087279,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10322246503894087279,Curtsy,,23.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQWzc4hreDkfc4BCXcPIe0wSxrqttgykdqcqsjQ9xxuggnS7pPB-Sttup_jbtUuoNSJxNG92AVip38Ddvyx9iDu8KNsJUGtokA7qXotIVc&usqp=CAE,Free delivery,,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
26,Gap Essential Stretch Women's 10l Straight Wide Leg Jeans Premium,https://www.ebay.com/itm/166306128537?chn=ps&mkevt=1&mkcid=28&srsltid=AfmBOooGU1ukATSJXSOf2pkzLVE9NdrhpPdMqcZrwh3j0_mSH2YlZEH0a8U&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:11887613690443204539,11887613690443204539,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11887613690443204539,eBay,,18.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTwEbIoBd6IcuuyMg6A-DjxOeiUWmRdyj2pMjfkACDIc1YOliG1H5ERZoHMpack4XXYL6RDneXBLnghQl8JO2Iom6opOPLN9igrMh7lnTuK&usqp=CAE,"Delivery by Wed, Oct 11 · Free 30-day returns",,,,,,,,,,,used,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,1,0
27,Gap Jeans | Gap Slim Fit Jean | Color: Blue | Size: Various | Jefbean79's Closet,https://poshmark.com/listing/Gap-Slim-Fit-Jean-63f44b14ff04849eb6cb2497?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/6223251683249154098?gl=us,6223251683249154098,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6223251683249154098,Poshmark,,8.0,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQ8YC3lhCspZ9MmhWgyyWwFv6GK5CZecWhRqRMm0rw5jvfK8YmNMsF-bcNc3DaRcHP6VySibJ-KBFwUWi2Ks693UgGOw0BpDM1DhTD32C9G&usqp=CAE,"Delivery by Mon, Oct 9",['SALE'],,SALE,,,,,,,18.0,used,gap_q,gap jeans,4.340624999999999,122.84375,-10.0,0,1,0,0,0,0,0,0,0,0
28,"Gap Men's Jeans - Blue - 32""",https://www.depop.com/products/johnmueller7-gap-denim-jeans-32x32/?srsltid=AfmBOooW1Yi2OHklUSO7kuA9KGllThJRLpM2efUod-O1KJ9nuMfO18kFX8Q,https://www.google.com/shopping/product/11547438530060530481?gl=us,11547438530060530481,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11547438530060530481,Depop,,35.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRQZHwhf6YDZ9gfmXZs7lD7J9U5G5i-UcccahX0S576PV6psEt-fSaUXE5stwRRGwI_Qq9tqRpRd2oQmWT4b1yH289OWM96hr3cMYO9a6ao&usqp=CAE,$7.99 delivery,,,,,,,,,,,used,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
29,Gap 1969 Standard Fit Jeans in Pale Blue Wash,http://www.threadtraders.com/new-gap-1969-standard-fit-jeans-in-pale-blue-wash.html,https://www.google.com/shopping/product/1155546791000290052?gl=us,1155546791000290052,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=1155546791000290052,Thread Traders,,34.99,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRD6Vjj2OJrOkLR1mmt3Jf0uezNqGsuxgKFmD79TZ08si19trVrGB1ff110aSQPqt1HnPgoB8QcIjWMj2RbB3GduisQ3UuDxiIk3yqEiyWBC108c0xQoNtcLg&usqp=CAE,"Delivery by Mon, Oct 9",,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
30,Women's High Rise Vintage Slim Jeans with Washwell by Gap Medium Indigo Size 28,https://www.gap.com/browse/product.do?pid=660537002&vid=1&tid=gpns000044,https://www.google.com/shopping/product/9660379021512802512?gl=us,9660379021512802512,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9660379021512802512,Gap,,41.0,4.7,285.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQXoKYvMWYWug1hpYMMv_mTxslqMwWTvH2hKaUOe99mM0phNpK5Hp4mh69FXLSuEv4VZTUQEmVUpzXHRPuXdIdTq68-VWK0u1fvnRMmKyXs0m16m7vzkm2a5g&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$28.95 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap jeans,4.7,285.0,0.0,1,0,1,1,0,0,0,0,0,0
31,Womens Gap Stretch Jean,https://www.ebay.com/itm/304506180542?chn=ps&mkevt=1&mkcid=28&srsltid=AfmBOooxGRX2Jeu2i6TSUqKJKEK5l7Y4QSCiC-FuV6O8Kr5tfhq789lCnjo&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:10328314848466484022,10328314848466484022,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10328314848466484022,eBay,,35.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcROQl7iIsg2c0EmLKnCyD-QPgpdNoUQ1g9XBvUOcqzbjswbNWsr0e4rMVIXl3RbmoNxviUl-oG9zrtCNykr_7XcmHdrZ-5I_FA9ZfEUDhHo&usqp=CAE,"Delivery by Tue, Oct 10",,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,1,0
32,Gap Boy Fit Jeans in Washwell Medium Indigo,https://modesens.com/product/gap-boy-fit-jeans-in-washwell-medium-indigo-68377224/?country=us&language=en&refinfo=gSH_ggfGapfc-ApAcCl68377224&srsltid=AfmBOopTL2RNiKjFcPF9yjwnA-j71aSlwMY7_MeVHjis_KT6_bJ0ZZjS60s,https://www.google.com/shopping/product/11772041190397215266?gl=us,11772041190397215266,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11772041190397215266,ModeSens,,63.0,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSVLRUVSCb99db4DPrXlSveuTnDEQx_uJMM-VKRxjrJ9b_BogKNNYFJPpun9Q8_Sf6WSuHiv7dKHlCLXeELy-0pc1wprKTCdz6ET5GvkFlfRKHAWCQFdlmE&usqp=CAE,$7.00 delivery,"['$17.00 below typical', 'LOW PRICE']",,LOW PRICE,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,1,0,0,0,0,0,0,0,0,0
33,Gap Jeans | Gap Jeans | Color: Blue | Size: 34 | Njones455's Closet,https://poshmark.com/listing/Mens-Gap-Jeans-Standard-Fit-600c52dbc693bdc2b1234bc8?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/10613663617504845085?gl=us,10613663617504845085,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10613663617504845085,Poshmark,,25.0,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcThTtV5cdrdQ-E6PCChsT1rJ9LJ1XgcBh8c0LUmorRTweD7j1gI_wDNX3fkomToX06VACq3GJ02wS41vwIGLVUz5A3ipGv8mwYfJt3F3oU&usqp=CAE,"Delivery by Fri, Oct 6",['SALE'],,SALE,,,,,,,38.0,,gap_q,gap jeans,4.340624999999999,122.84375,-13.0,0,1,0,0,0,0,0,0,0,0
34,Women’s Gap Jeans Girlfriend Stretch Mid Rise Slim Through The Hip &,https://www.ebay.com/itm/185802258294?chn=ps&mkevt=1&mkcid=28&srsltid=AfmBOoq7vF6s3wc6w1xD0dCp3Eoc3dtQtCDD1F4e7tSjqYL30TuJi4iy1b8&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:4623300267989244344,4623300267989244344,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4623300267989244344,eBay,,19.99,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSKXdTm-nTGJEwkTYY8aBY59ZATAsv-kO0ktHUqRJmxUFaNYLiAVZzTpzEkVX5FhM7VWkb5tqmrUfHYe_Pn0-oeBQrSqCz2M-dzlnShyZw&usqp=CAE,"Delivery by Tue, Oct 10",,,,,,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,1,0
35,GAP Men's Straight Fit Denim Jeans,https://www.amazon.com/GAP-Mens-Straight-Jeans-Light/dp/B09V2BCPCH?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/1?gl=us&prds=pid:10204776339081768686,10204776339081768686,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10204776339081768686,Amazon.com,,35.59,5.0,1.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQ1WFf1KFqiypZjQ8IfxaYk9K0kzAsb9ZCgqMwAqwN00Kq0rWMVbiEmW6kOHEvzlmNwdDFKNlwIJ-9QjXi7RmxjDpFZxVqngW6qAOJgnLw4LKETIt-zoLyREA&usqp=CAE,Free delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap jeans,5.0,1.0,0.0,0,0,1,0,0,0,0,1,0,0
36,Gap Essential Jeans Women's 4/27a - Ankle,http://www.threadtraders.com/gap-essential-jeans-women-s-4-27a-ankle.html,https://www.google.com/shopping/product/4218039764812557286?gl=us,4218039764812557286,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4218039764812557286,Thread Traders,,22.99,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSTI_Wajs8kvADCLgXG52b9gW5abMoKEJawLLIqt2V2DRHCgNGYC_qfD1R6obvR7JI7859z9hBs-jYhDkJ-BoFT5MXxCZQbi5BaADN3ZZMfwVc9fR4ba-XS&usqp=CAE,"Delivery by Mon, Oct 9",,,,,,,,,,,used,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,0,0,0,0,0,0,0,0
37,GAP Women's High Rise Straight Fit Denim Jeans,https://www.amazon.com/GAP-Womens-Straight-Jeans-Regular/dp/B09V461BBJ?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/1?gl=us&prds=pid:14347653955719203316,14347653955719203316,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14347653955719203316,Amazon.com,,19.94,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcROViL4ZnyBpBKfHV5ivrrEXNDtCWOofP225BosKdX6jq9pZLb6ZrjtYUXatwkgbLbJ4K1GUxmiUgWmDdCoeOXEMm8J7JYP60Ri509COpbUKPNGensEhLua&usqp=CAE,$5.99 delivery,,Top Quality Store,,4.5,2500.0,,,,,,,gap_q,gap jeans,4.340624999999999,122.84375,0.0,0,0,1,0,0,0,0,1,0,0
